,m [g],h [mm],d1 [mm],d2 [mm],V [cm3],rho [g/cm3],penetrometr [kg/cm2],Odruda,Datum,id,Fa,k_a,Fb,Fa/Fb,Ft,rear_slope
A01,172.67,0,69.1,69.3,191.12,0.90346379238175,,HL 648,16.10.2024,A_01,52.514744,51.7375876628935,79.85265,0.657645600991326,53.0374481504702,1.40130109009723
A02,187.88,0,71.47,72.8,211.18,0.889667582157401,,,,A_02,66.9482506666667,51.9576464741867,80.850066,0.828054372480867,49.7749375120275,-0.530495346368823
A03,179.14,0,72.63,67.4,200.33,0.894224529526282,,,,A_03,57.307882,43.4449235285337,78.4607533333333,0.730401883302505,50.4602937121771,-0.981615343131979
A04,254.72,0,82.32,79.69,285.64,0.891751855482425,,,,A_04,57.6812533333333,46.4386452188021,71.073806,0.811568376306362,46.227081130031,2.75161837128419
A05,168.99,0,70.43,68.19,189.63,0.891156462585034,,,,A_05,32.2227376666667,26.3698706812258,70.9893686666667,0.453909342650585,54.0965459004975,-3.87138767827547
A06,213.36,0,73.18,72.38,240.69,0.886451452075284,,,,A_06,54.71935,49.6978194422863,71.8271453333333,0.761819918445318,54.0589109906832,-4.34079816095924
A07,177.01,0,71.91,70.5,193.28,0.915821605960265,,,,A_07,62.9665026666667,47.0911568815938,76.0595666666667,0.827857762359063,52.0478740488599,1.64033525099892
A08,244.11,0,79.81,76.92,276.2,0.883816075307748,,,,A_08,59.7803126666667,43.7123868618291,71.0131166666667,0.841820715281003,49.766540009901,-2.40701019982158
A09,189.74,0,72.83,69.49,209.48,0.9057666603017,,,,A_09,45.6482736666667,50.0651914087041,81.6330903333333,0.559188357077633,50.7908256826923,2.64265069645683
A10,177.37,0,75.11,71.8,199.19,0.890456348210252,,,,A_10,64.711321,42.5552079618352,71.2215713333333,0.908591593649853,53.8740217206349,-1.94444262752824
A11,167.95,0,72.84,68.25,186.49,0.900584481741648,,,,A_11,48.8918546666667,50.5098110982735,76.6710776666667,0.637683154516593,50.3021587180233,-3.2705118050697
A12,188.43,0,72.15,70.42,212.25,0.887773851590106,,,,A_12,60.3403696666667,45.6559962873506,82.352127,0.732711732711733,50.0922212395833,0.678412298446813
A13,141.97,0,71.01,62.82,155.76,0.911466358500257,,,,A_13,76.5938966666667,50.9826221693601,76.5938966666667,1,57.980577843318,-4.1882360379505
A14,195.44,0,78.93,72.23,217.51,0.898533400763183,,,,A_14,63.7165436666667,45.0567993535231,66.532001,0.957682659607167,51.1685117882353,-2.42205707855946
B01,241.2,73.2,78.4,78.6,268.6,0.897989575577066,12.75,HL648,3.10.2024,B01_,49.601656,35.868255922384,67.768876,0.731923840672818,46.3420565724638,-4.51140165547468
B02,192.3,64.4,67.3,78,212.5,0.904941176470588,14.505,HL648,,B02_,63.516005,36.2421961334712,65.3043613333333,0.972615055153744,56.3728751785714,-1.29598845886517
B03,158.7,61.7,68.9,69.2,178,0.891573033707865,12.25,HL648,,B03_,44.001086,40.5287097231355,71.1753946666667,0.618206420997998,52.4988871069182,0.687057563294579
B04,212.6,69.6,80.2,78.2,224.6,0.946571682991986,11.225,HL648,,B04_,52.7706946666667,33.0746160082468,66.7167076666667,0.790966708524081,46.92106092,-1.70700502269543
B05,204.8,71.8,77.1,72.6,230.1,0.890047805302043,12.53,HL648,,B05_,53.0279646666667,39.7457555310076,55.4977566666667,0.955497444431238,49.9385601354167,-2.14133928789563
B06,234.1,75.4,80.3,74.4,260.7,0.897967011891063,13.925,HL648,,B06_,57.507761,35.4271724281602,71.0823816666667,0.809029743399378,53.4513717166667,-2.33464326099876
B07,199.3,69.6,69.5,78.1,223.6,0.891323792486583,11.85,HL648,,B07_,58.6443666666667,31.1050022297673,58.6443666666667,1,51.0061068895184,-4.14457048424171
B08,159.6,63.8,67.5,70.1,178.1,0.896125772038181,12.1,HL648,,B08_,45.7353496666667,28.423967874858,71.2255293333333,0.642120179305746,53.0741176681614,-0.770875687664514
B09,179.5,67,73.1,72.3,197.2,0.910243407707911,12.81,HL648,,B09_,53.381546,45.0352982139327,66.2001886666667,0.806365466249477,48.4252585653409,0.552938323179478
B10,204.4,67.2,74,77.3,227.2,0.899647887323944,12.995,HL648,,B10_,74.313429,49.8887789253679,74.313429,1,54.3038250375587,-1.60426040982256
